intervene_measure,cov,value
1.0,0.01,2485.019325354239
1.0,0.02,2431.132171713718
1.0,0.03,2413.311429197233
1.0,0.04,2404.225183631139
1.0,0.05,2398.0696624711336
1.0,0.060000000000000005,2394.3979196306486
1.0,0.06999999999999999,2390.9886610009785
1.0,0.08,2388.140174180956
1.0,0.09,2385.7106149052543
1.0,0.09999999999999999,2383.617578339167
1.0,0.11,2381.728390789715
1.0,0.12,2379.8880320655617
1.0,0.13,2378.0373407667294
1.0,0.14,2376.658700524846
1.0,0.15000000000000002,2374.991913454668
1.0,0.16,2373.6082691548804
1.0,0.17,2372.163640706424
1.0,0.18000000000000002,2370.8102369939525
1.0,0.19,2371.0685669517147
1.0,0.2,2369.761587094997
1.0,0.21000000000000002,2368.385516150974
1.0,0.22,2367.6523340576973
1.0,0.23,2366.3226108499935
1.0,0.24000000000000002,2365.1216893840333
1.0,0.25,2363.800241214036
1.0,0.26,2362.552316022347
1.0,0.27,2361.3503421168793
1.0,0.28,2360.119126265097
1.0,0.29000000000000004,2358.913902399903
1.0,0.3,2357.639669095325
1.0,0.31,2356.541759212324
1.0,0.32,2355.36773878011
1.0,0.33,2354.2012712866726
1.0,0.34,2353.044983515856
1.0,0.35000000000000003,2351.8571518300414
1.0,0.36000000000000004,2350.7367905741476
1.0,0.37,2349.513651095671
1.0,0.38,2348.4011934186406
1.0,0.39,2347.254249104433
1.0,0.4,2346.159394670934
1.0,0.41000000000000003,2345.1848516398245
1.0,0.42000000000000004,2344.0342669685588
1.0,0.43,2342.9522951235617
1.0,0.44,2341.859852851715
1.0,0.45,2340.7382015263624
1.0,0.46,2339.631910071954
1.0,0.47000000000000003,2338.544884564599
1.0,0.48000000000000004,2337.4865364686793
1.0,0.49,2338.0009194583013
1.0,0.5,2336.915052277361
1.0,0.51,2335.826919757951
1.0,0.52,2334.745200464892
1.0,0.53,2333.6363715016982
1.0,0.54,2332.5868323460204
1.0,0.55,2331.5124554041677
1.0,0.56,2330.427392099237
1.0,0.5700000000000001,2329.375041173082
1.0,0.5800000000000001,2328.824674580004
1.0,0.59,2327.7650128191335
1.0,0.6,2326.7100047987556
1.0,0.61,2325.6585172090136
1.0,0.62,2324.619416969123
1.0,0.63,2323.5701122760697
1.0,0.64,2322.533963789668
1.0,0.65,2321.5059586416746
1.0,0.66,2320.4719520402423
1.0,0.67,2319.452390150518
1.0,0.68,2318.4377069278107
1.0,0.6900000000000001,2317.428599700397
1.0,0.7000000000000001,2316.422114860252
1.0,0.7100000000000001,2315.4202890320703
1.0,0.72,2314.431551882845
1.0,0.73,2313.450050587029
1.0,0.74,2312.477622116762
1.0,0.75,2311.513864008543
1.0,0.76,2310.5660681064314
1.0,0.77,2309.622665935105
1.0,0.78,2308.692443868119
1.0,0.79,2307.7763953196327
1.0,0.8,2306.874930532804
1.0,0.81,2305.991388827004
1.0,0.8200000000000001,2305.129233424167
1.0,0.8300000000000001,2304.2927177760075
1.0,0.8400000000000001,2303.4762637833333
1.0,0.85,2302.6931188177446
1.0,0.86,2301.9431247092048
1.0,0.87,2301.2342405247978
1.0,0.88,2300.568252959209
1.0,0.89,2299.9582666579645
1.0,0.9,2299.4116440623657
1.0,0.91,2298.9397997010565
1.0,0.92,2298.5568026015144
1.0,0.93,2298.280427884328
1.0,0.9400000000000001,2298.1321672248914
1.0,0.9500000000000001,2298.1375487709242
1.0,0.9600000000000001,2298.3290898329183
1.0,0.97,2298.7447742967256
1.0,0.98,2299.434805322239
1.0,0.99,2300.4577429251312
1.0,1.0,2301.886104834997
2.0,0.01,-40005.179914073524
2.0,0.02,-165204.45676252258
2.0,0.03,319791.5693759622
2.0,0.04,101343.29086146234
2.0,0.05,63966.16195396169
2.0,0.060000000000000005,47816.7720648044
2.0,0.06999999999999999,38584.93730274528
2.0,0.08,32520.95342322566
2.0,0.09,28193.296497219475
2.0,0.09999999999999999,24930.041244936256
2.0,0.11,22371.093308899275
2.0,0.12,20304.742724229953
2.0,0.13,18597.704791847824
2.0,0.14,17161.537649520822
2.0,0.15000000000000002,15935.058281142257
2.0,0.16,14874.485130002033
2.0,0.17,13947.599372748673
2.0,0.18000000000000002,13130.12601258082
2.0,0.19,12403.403897618195
2.0,0.2,11752.836294039447
2.0,0.21000000000000002,11166.831445177591
2.0,0.22,10636.06041573861
2.0,0.23,10152.926035579447
2.0,0.24000000000000002,9711.175686506547
2.0,0.25,9305.614201033482
2.0,0.26,8931.887767461596
2.0,0.27,8586.319060704032
2.0,0.28,8265.779900855441
2.0,0.29000000000000004,7967.591790341359
2.0,0.3,7689.447426873466
2.0,0.31,7429.348183378795
2.0,0.32,7185.553873209536
2.0,0.33,6956.542061762026
2.0,0.34,6740.97486437238
2.0,0.35000000000000003,6537.671665044487
2.0,0.36000000000000004,6345.586555182564
2.0,0.37,6163.789562699386
2.0,0.38,5991.450946340752
2.0,0.39,5827.827984633255
2.0,0.4,5672.25380763096
2.0,0.41000000000000003,5524.1279110390415
2.0,0.42000000000000004,5382.908063300136
2.0,0.43,5248.103372073349
2.0,0.44,5119.268320203231
2.0,0.45,4995.997616208832
2.0,0.46,4877.9217320187045
2.0,0.47000000000000003,4764.70302300538
2.0,0.48000000000000004,4656.032343271073
2.0,0.49,4551.626083808652
2.0,0.5,4451.223572929549
2.0,0.51,4354.584788249278
2.0,0.52,4261.488337284424
2.0,0.53,4171.729670563127
2.0,0.54,4085.1194964423285
2.0,0.55,4001.4823715091566
2.0,0.56,3920.655444209626
2.0,0.5700000000000001,3842.487332524515
2.0,0.5800000000000001,3766.8371192384557
2.0,0.59,3693.573450627133
2.0,0.6,3622.573726265108
2.0,0.61,3553.7233693304656
2.0,0.62,3486.915168178875
2.0,0.63,3422.0486811127134
2.0,0.64,3359.0296973352883
2.0,0.65,3297.7697479126905
2.0,0.66,3238.1856613759956
2.0,0.67,3180.1991591825026
2.0,0.68,3123.7364868708196
2.0,0.6900000000000001,3068.7280771982587
2.0,0.7000000000000001,3015.108242007214
2.0,0.7100000000000001,2962.814889898231
2.0,0.72,2911.7892671405775
2.0,0.73,2861.9757195230263
2.0,0.74,2813.321473078361
2.0,0.75,2765.776431851891
2.0,0.76,2719.2929910720754
2.0,0.77,2673.825864236883
2.0,0.78,2629.3319227532934
2.0,0.79,2585.7700469650945
2.0,0.8,2543.1009874286847
2.0,0.81,2501.2872354578158
2.0,0.8200000000000001,2460.29290200367
2.0,0.8300000000000001,2420.0836040512368
2.0,0.8400000000000001,2380.626357717777
2.0,0.85,2341.889477355549
2.0,0.86,2303.8424799491963
2.0,0.87,2266.4559941787597
2.0,0.88,2229.7016735256616
2.0,0.89,2193.5521127940674
2.0,0.9,2157.9807674861777
2.0,0.91,2122.9618754188946
2.0,0.92,2088.470379992089
2.0,0.93,2054.48185447484
2.0,0.9400000000000001,2020.9724266577293
2.0,0.9500000000000001,1987.9187031801625
2.0,0.9600000000000001,1955.2976927545237
2.0,0.97,1923.086727505844
2.0,0.98,1891.2633811758667
2.0,0.99,1859.8053835613764
2.0,1.0,1828.6905296076418
3.0,0.01,928.4675304600777
3.0,0.02,895.3947827889481
3.0,0.03,884.8715951442805
3.0,0.04,879.6900702164526
3.0,0.05,876.6005328247834
3.0,0.060000000000000005,874.5448667388187
3.0,0.06999999999999999,873.0755902123262
3.0,0.08,871.9709015955865
3.0,0.09,871.1083364919555
3.0,0.09999999999999999,870.4147553341344
3.0,0.11,869.8437820140763
3.0,0.12,869.3645881924405
3.0,0.13,868.9558815982606
3.0,0.14,868.6024834850194
3.0,0.15000000000000002,868.2932814070665
3.0,0.16,868.0199530175696
3.0,0.17,867.7761421194266
3.0,0.18000000000000002,867.5569104187407
3.0,0.19,867.3583630375982
3.0,0.2,867.1773867602981
3.0,0.21000000000000002,867.0114633121232
3.0,0.22,866.8585337216964
3.0,0.23,866.7168981730055
3.0,0.24000000000000002,866.5851409665183
3.0,0.25,866.4620735392175
3.0,0.26,866.3466906686479
3.0,0.27,866.2381364343138
3.0,0.28,866.1356774910631
3.0,0.29000000000000004,866.0386818851035
3.0,0.3,865.946602116672
3.0,0.31,865.8589614881627
3.0,0.32,865.7753430174283
3.0,0.33,865.6953803711467
3.0,0.34,865.6187504013321
3.0,0.35000000000000003,865.5451669638986
3.0,0.36000000000000004,865.4743757693424
3.0,0.37,865.4061500701329
3.0,0.38,865.3402870301193
3.0,0.39,865.2766046536211
3.0,0.4,865.2149391758431
3.0,0.41000000000000003,865.1551428358919
3.0,0.42000000000000004,865.0970819684129
3.0,0.43,865.0406353619228
3.0,0.44,864.9856928414418
3.0,0.45,864.932154040296
3.0,0.46,864.8799273324089
3.0,0.47000000000000003,864.8289289010879
3.0,0.48000000000000004,864.7790819243969
3.0,0.49,864.730315860378
3.0,0.5,864.6825658182063
3.0,0.51,864.6357720034069
3.0,0.52,864.5898792271698
3.0,0.53,864.544836471286
3.0,0.54,864.5005965014936
3.0,0.55,864.4571155230445
3.0,0.56,864.4143528732475
3.0,0.5700000000000001,864.3722707463743
3.0,0.5800000000000001,864.3308339470616
3.0,0.59,864.2900096689016
3.0,0.6,864.2497672950471
3.0,0.61,864.2100782186131
3.0,0.62,864.1709156803419
3.0,0.63,864.1322546218593
3.0,0.64,864.0940715526082
3.0,0.65,864.0563444291402
3.0,0.66,864.0190525453755
3.0,0.67,863.9821764326693
3.0,0.68,863.9456977687692
3.0,0.6900000000000001,863.9095992946459
3.0,0.7000000000000001,863.8738647384542
3.0,0.7100000000000001,863.8384787459784
3.0,0.72,863.8034268168155
3.0,0.73,863.7686952458733
3.0,0.74,863.7342710695519
3.0,0.75,863.7001420162829
3.0,0.76,863.666296460951
3.0,0.77,863.632723382902
3.0,0.78,863.5994123271222
3.0,0.79,863.5663533684344
3.0,0.8,863.5335370783584
3.0,0.81,863.5009544943935
3.0,0.8200000000000001,863.468597091624
3.0,0.8300000000000001,863.4364567563022
3.0,0.8400000000000001,863.4045257613691
3.0,0.85,863.3727967436906
3.0,0.86,863.3412626828767
3.0,0.87,863.3099168815704
3.0,0.88,863.2787529470813
3.0,0.89,863.2477647742475
3.0,0.9,863.2169465294653
3.0,0.91,863.1862926357384
3.0,0.92,863.1557977587453
3.0,0.93,863.1254567937464
3.0,0.9400000000000001,863.0952648534059
3.0,0.9500000000000001,863.0652172563072
3.0,0.9600000000000001,863.0353095162432
3.0,0.97,863.0055373321309
3.0,0.98,862.9758965785663
3.0,0.99,862.9463832969457
3.0,1.0,862.916993687124
4.0,0.01,-39504036.82370761
4.0,0.02,-126695280.66290835
4.0,0.03,-479388719.3924037
4.0,0.04,1223261871.2155814
4.0,0.05,390690977.55159324
4.0,0.060000000000000005,268748470.3998594
4.0,0.06999999999999999,219755684.02857757
4.0,0.08,193323657.66523317
4.0,0.09,176785389.60691985
4.0,0.09999999999999999,165461649.77362657
4.0,0.11,157222087.2588017
4.0,0.12,150915490.2794037
4.0,0.13,145966012.1755847
4.0,0.14,142003166.35627967
4.0,0.15000000000000002,138738781.83887127
4.0,0.16,136003160.54476324
4.0,0.17,133677458.91692805
4.0,0.18000000000000002,131675965.76627022
4.0,0.19,129935308.37194987
4.0,0.2,128407620.19486618
4.0,0.21000000000000002,127056071.6513943
4.0,0.22,125851862.39690082
4.0,0.23,124765795.87998639
4.0,0.24000000000000002,123775245.44808055
4.0,0.25,122894236.63602169
4.0,0.26,122092070.48481882
4.0,0.27,120394746.18763696
4.0,0.28,119741170.69597103
4.0,0.29000000000000004,119139016.95669562
4.0,0.3,118582446.11747243
4.0,0.31,118066471.08436891
4.0,0.32,117586806.66030723
4.0,0.33,117139750.25911091
4.0,0.34,116722086.14287332
4.0,0.35000000000000003,116331007.95872222
4.0,0.36000000000000004,115964055.5977456
4.0,0.37,115619063.39582375
4.0,0.38,115294117.35317603
4.0,0.39,114987519.62048146
4.0,0.4,114697758.81980772
4.0,0.41000000000000003,114423485.12592764
4.0,0.42000000000000004,114163489.24779163
4.0,0.43,113916684.5994772
4.0,0.44,113675642.65668781
4.0,0.45,113448322.16626123
4.0,0.46,113235873.24827284
4.0,0.47000000000000003,113033209.48310658
4.0,0.48000000000000004,112839670.07094516
4.0,0.49,112654652.4003526
4.0,0.5,112477605.7814333
4.0,0.51,112308025.97169648
4.0,0.52,112145450.38019463
4.0,0.53,111989453.85388608
4.0,0.54,111839644.9645908
4.0,0.55,111695662.73182435
4.0,0.56,111557173.71801732
4.0,0.5700000000000001,111423869.4498969
4.0,0.5800000000000001,111295464.12580767
4.0,0.59,111171692.5700827
4.0,0.6,111052308.4055943
4.0,0.61,110937082.41731127
4.0,0.62,110825801.08250198
4.0,0.63,110718265.25084278
4.0,0.64,110614288.96112092
4.0,0.65,110511965.43284531
4.0,0.66,110412435.35409154
4.0,0.67,110315420.23475921
4.0,0.68,110224173.26235183
4.0,0.6900000000000001,110135715.75503552
4.0,0.7000000000000001,110049921.731148
4.0,0.7100000000000001,109966672.68042478
4.0,0.72,109885857.0215261
4.0,0.73,109807369.60166116
4.0,0.74,109731111.23972043
4.0,0.75,109656988.30780594
4.0,0.76,109584912.34928592
4.0,0.77,109514799.72592375
4.0,0.78,109446571.2943887
4.0,0.79,109380152.10813749
4.0,0.8,109315471.14301443
