interv_measure,scene,object_value,min_coverage,year
1,1,500,,1
1,1,1000,,1
1,1,1500,,1
1,1,2000,0,1
1,1,2500,0,1
1,2,500,,1
1,2,1000,,1
1,2,1500,,1
1,2,2000,,1
1,2,2500,,1
1,3,500,,1
1,3,1000,,1
1,3,1500,,1
1,3,2000,,1
1,3,2500,,1
1,4,500,,1
1,4,1000,,1
1,4,1500,,1
1,4,2000,,1
1,4,2500,,1
1,5,500,,1
1,5,1000,,1
1,5,1500,,1
1,5,2000,,1
1,5,2500,,1
1,6,500,,1
1,6,1000,,1
1,6,1500,,1
1,6,2000,,1
1,6,2500,,1
1,1,500,,3
1,1,1000,,3
1,1,1500,0.680708249,3
1,1,2000,0,3
1,1,2500,0,3
1,2,500,,3
1,2,1000,,3
1,2,1500,,3
1,2,2000,,3
1,2,2500,,3
1,3,500,,3
1,3,1000,,3
1,3,1500,,3
1,3,2000,,3
1,3,2500,,3
1,4,500,,3
1,4,1000,,3
1,4,1500,,3
1,4,2000,,3
1,4,2500,,3
1,5,500,,3
1,5,1000,,3
1,5,1500,,3
1,5,2000,,3
1,5,2500,,3
1,6,500,,3
1,6,1000,,3
1,6,1500,,3
1,6,2000,,3
1,6,2500,,3
1,1,500,,5
1,1,1000,0.954201476,5
1,1,1500,0.488426738,5
1,1,2000,0,5
1,1,2500,0,5
1,2,500,,5
1,2,1000,,5
1,2,1500,,5
1,2,2000,,5
1,2,2500,0.826557389,5
1,3,500,,5
1,3,1000,,5
1,3,1500,,5
1,3,2000,,5
1,3,2500,,5
1,4,500,,5
1,4,1000,,5
1,4,1500,,5
1,4,2000,,5
1,4,2500,,5
1,5,500,,5
1,5,1000,,5
1,5,1500,,5
1,5,2000,,5
1,5,2500,,5
1,6,500,,5
1,6,1000,,5
1,6,1500,,5
1,6,2000,,5
1,6,2500,,5
2,1,500,0.265343735,1
2,1,1000,0.1630557,1
2,1,1500,0.096006875,1
2,1,2000,0,1
2,1,2500,0,1
2,2,500,,1
2,2,1000,0.283045394,1
2,2,1500,0.213394313,1
2,2,2000,0.166839881,1
2,2,2500,0.13778833,1
2,3,500,,1
2,3,1000,,1
2,3,1500,0.367812583,1
2,3,2000,0.262662504,1
2,3,2500,0.224666549,1
2,4,500,,1
2,4,1000,,1
2,4,1500,,1
2,4,2000,0.31080407,1
2,4,2500,0.262319304,1
2,5,500,,1
2,5,1000,,1
2,5,1500,,1
2,5,2000,,1
2,5,2500,,1
2,6,500,,1
2,6,1000,,1
2,6,1500,,1
2,6,2000,,1
2,6,2500,,1
2,1,500,0.183829715,3
2,1,1000,0.105530445,3
2,1,1500,0.061137969,3
2,1,2000,0,3
2,1,2500,0,3
2,2,500,,3
2,2,1000,0.198280529,3
2,2,1500,0.143905916,3
2,2,2000,0.115445074,3
2,2,2500,0.09160878,3
2,3,500,,3
2,3,1000,,3
2,3,1500,0.243370464,3
2,3,2000,0.181647547,3
2,3,2500,0.154433091,3
2,4,500,,3
2,4,1000,,3
2,4,1500,0.436264485,3
2,4,2000,0.214663613,3
2,4,2500,0.178774283,3
2,5,500,,3
2,5,1000,,3
2,5,1500,,3
2,5,2000,,3
2,5,2500,0.308283526,3
2,6,500,,3
2,6,1000,,3
2,6,1500,,3
2,6,2000,,3
2,6,2500,,3
2,1,500,0.17316579,5
2,1,1000,0.093424829,5
2,1,1500,0.053007026,5
2,1,2000,0,5
2,1,2500,0,5
2,2,500,,5
2,2,1000,0.185816932,5
2,2,1500,0.130229493,5
2,2,2000,0.100843839,5
2,2,2500,0.080887072,5
2,3,500,,5
2,3,1000,,5
2,3,1500,0.22945699,5
2,3,2000,0.167931413,5
2,3,2500,0.140778062,5
2,4,500,,5
2,4,1000,,5
2,4,1500,0.32972083,5
2,4,2000,0.203068349,5
2,4,2500,0.16332725,5
2,5,500,,5
2,5,1000,,5
2,5,1500,,5
2,5,2000,,5
2,5,2500,0.283786076,5
2,6,500,,5
2,6,1000,,5
2,6,1500,,5
2,6,2000,,5
2,6,2500,,5
3,1,500,,1
3,1,1000,,1
3,1,1500,,1
3,1,2000,0,1
3,1,2500,0,1
3,2,500,,1
3,2,1000,,1
3,2,1500,,1
3,2,2000,,1
3,2,2500,,1
3,3,500,,1
3,3,1000,,1
3,3,1500,,1
3,3,2000,,1
3,3,2500,,1
3,4,500,,1
3,4,1000,,1
3,4,1500,,1
3,4,2000,,1
3,4,2500,,1
3,5,500,,1
3,5,1000,,1
3,5,1500,,1
3,5,2000,,1
3,5,2500,,1
3,6,500,,1
